127.0.0.1 - - [26/Mar/2021:11:59:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2021:11:59:53 +0900] "GET /Semi_login/ HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [26/Mar/2021:11:59:53 +0900] "GET /Semi_login/resources/img/kakaologin.png HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [26/Mar/2021:11:59:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:08:59 +0900] "GET /Semi_login/ HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:08:59 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:08:59 +0900] "GET /Semi_login/resources/img/kakaologin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:00 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:00 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:01 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:01 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:01 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:02 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:06 +0900] "GET /Semi_login/ HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:06 +0900] "GET /Semi_login/resources/img/kakaologin.png HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:06 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:33 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:33 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:34 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:34 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:34 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:34 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:35 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:35 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:36 +0900] "GET /Semi_login/ HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:36 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:36 +0900] "GET /Semi_login/resources/img/kakaologin.png HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:59 +0900] "GET /Semi_login/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:09:59 +0900] "GET /Semi_login/resources/img/naverlogin.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [26/Mar/2021:22:10:01 +0900] "GET /Semi_login/ HTTP/1.1" 304 -
